fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area,corrected_address,original_address
2011-12-28,03:20:00,2011-12-28,08:30:00,홍천,홍천,0.1,강원도 홍천군 홍천읍,강원도 홍천 홍천
2011-11-20,21:54:00,2011-11-21,00:43:00,인제,인제,0.3,강원도 인제군 인제읍,강원도 인제 인제
2011-11-01,15:23:00,2011-11-02,10:30:00,화천,화천,3.0,강원도 화천군 화천읍,강원도 화천 화천
2011-10-17,15:05:00,2011-10-17,16:30:00,인제,인제,0.01,강원도 인제군 인제읍,강원도 인제 인제
2011-10-13,15:54:00,2011-10-13,17:50:00,춘천,사북,0.1,강원도 춘천시 사북면,강원도 춘천 사북
2011-10-07,14:46:00,2011-10-07,16:28:00,홍천,남,0.01,강원도 홍천군 남면,강원도 홍천 남
2011-10-06,18:13:00,2011-10-06,23:30:00,화천,화천,0.3,강원도 화천군 화천읍,강원도 화천 화천
2011-06-15,13:15:00,2011-06-15,14:45:00,춘천,동산,0.1,강원도 춘천시 동산면,강원도 춘천 동산
2011-06-12,14:25:00,2011-06-12,18:30:00,삼척,마평,0.1,강원도 삼척시 마평동,강원도 삼척 마평
2011-05-15,14:50:00,2011-05-15,18:55:00,철원,동송,0.1,강원도 철원군 동송읍,강원도 철원 동송
2011-04-20,14:15:00,2011-04-20,15:10:00,횡성,청일,0.6,강원도 횡성군 청일면,강원도 횡성 청일
2011-04-17,12:40:00,2011-04-17,14:20:00,인제,남면,0.3,강원도 인제군 남면,강원도 인제 남면
2011-04-16,18:25:00,2011-04-16,19:30:00,춘천,남산,0.1,강원도 춘천시 남산면,강원도 춘천 남산
2011-04-13,23:40:00,2011-04-14,02:30:00,춘천,신동,0.5,강원도 춘천시 신동면,강원도 춘천 신동
2011-04-13,16:50:00,2011-04-13,17:50:00,영월,수주,0.15,강원도 영월군 무릉도원면,강원도 영월 수주
2011-04-13,16:05:00,2011-04-13,17:10:00,삼척,도계,0.2,강원도 삼척시 도계읍,강원도 삼척 도계
2011-04-10,12:19:00,2011-04-10,13:08:00,화천,하남,0.1,강원도 화천군 하남면,강원도 화천 하남
2011-04-09,12:55:00,2011-04-09,13:40:00,양구,남,0.03,강원도 양구군 국토정중앙면,강원도 양구 남
2011-04-09,12:30:00,2011-04-09,12:57:00,양구,동,0.04,강원도 양구군 동면,강원도 양구 동
2011-04-06,16:27:00,2011-04-06,17:00:00,강릉,왕산,0.1,강원도 강릉시 왕산면,강원도 강릉 왕산
2011-04-06,14:50:00,2011-04-06,16:00:00,철원,철원,0.2,강원도 철원군 철원읍,강원도 철원 철원
2011-04-05,11:08:00,2011-04-05,11:40:00,춘천,남,0.1,강원도 춘천시 남면,강원도 춘천 남
2011-04-01,14:15:00,2011-04-01,16:45:00,삼척,노곡,0.5,강원도 삼척시 노곡면,강원도 삼척 노곡
2011-04-01,10:50:00,2011-04-01,13:30:00,정선,정선,0.3,강원도 정선군 정선읍,강원도 정선 정선
2011-03-24,13:00:00,2011-03-24,14:15:00,화천,화천,0.7,강원도 화천군 화천읍,강원도 화천 화천
2011-03-18,12:00:00,2011-03-18,12:50:00,홍천,홍천,0.2,강원도 홍천군 홍천읍,강원도 홍천 홍천
2011-03-14,19:40:00,2011-03-14,21:00:00,영월,영월,0.1,강원도 영월군 영월읍,강원도 영월 영월
2011-03-11,13:43:00,2011-03-11,14:55:00,횡성,우천,0.1,강원도 횡성군 우천면,강원도 횡성 우천
2011-03-09,17:20:00,2011-03-09,18:30:00,춘천,북산,0.3,강원도 춘천시 북산면,강원도 춘천 북산
2011-03-09,13:15:00,2011-03-09,17:50:00,영월,영월,2.0,강원도 영월군 영월읍,강원도 영월 영월
2011-02-26,16:50:00,2011-02-26,17:15:00,원주,태장,0.03,강원도 원주시 태장동,강원도 원주 태장
2011-02-12,07:30:00,2011-02-12,08:20:00,원주,귀래,0.3,강원도 원주시 귀래면,강원도 원주 귀래
2011-02-11,17:50:00,2011-02-11,20:20:00,홍천,내촌,0.3,강원도 홍천군 내촌면,강원도 홍천 내촌
2011-02-01,21:15:00,2011-02-01,22:38:00,강릉,대전,0.2,강원도 강릉시 대전동,강원도 강릉 대전
2011-01-31,21:31:00,2011-02-01,08:10:00,양양,강현,3.5,강원도 양양군 강현면,강원도 양양 강현
2011-01-31,18:14:00,2011-02-01,10:30:00,양양,현남,30.0,강원도 양양군 현남면,강원도 양양 현남
2011-01-22,23:46:00,2011-01-23,00:10:00,강릉,죽헌,0.3,강원도 강릉시 죽헌동,강원도 강릉 죽헌
2012-12-26,12:30:00,2012-12-26,17:30:00,삼척,가곡,0.2,강원도 삼척시 가곡면,강원도 삼척 가곡
2012-11-27,12:30:00,2012-11-27,13:20:00,춘천,신,0.01,강원도 춘천시 신동,강원도 춘천 신
2012-10-21,13:12:00,2012-10-21,15:05:00,원주,문막,0.03,강원도 원주시 문막읍,강원도 원주 문막
2012-10-14,14:28:00,2012-10-14,15:15:00,속초,설악,0.01,강원도 속초시 설악동,강원도 속초 설악
2012-06-29,06:00:00,2012-06-29,09:35:00,원주,부론,0.2,강원도 원주시 부론면,강원도 원주 부론
2012-06-22,13:00:00,2012-06-22,16:30:00,횡성,서원,0.7,강원도 횡성군 서원면,강원도 횡성 서원
2012-06-21,13:52:00,2012-06-21,19:20:00,홍천,북방,0.08,강원도 홍천군 북방면,강원도 홍천 북방
2012-06-19,11:17:00,2012-06-19,15:30:00,춘천,남,0.1,강원도 춘천시 남면,강원도 춘천 남
2012-06-14,21:30:00,2012-06-15,03:00:00,춘천,동,0.05,강원도 춘천시 동면,강원도 춘천 동
2012-05-30,09:10:00,2012-05-30,09:50:00,양구,양구,0.01,강원도 양구군 양구읍,강원도 양구 양구
