fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area
2011-12-28,03:20:00,2011-12-28,08:30:00,홍천,홍천,0.1
2011-11-20,21:54:00,2011-11-21,00:43:00,인제,인제,0.3
2011-11-01,15:23:00,2011-11-02,10:30:00,화천,화천,3.0
2011-10-17,15:05:00,2011-10-17,16:30:00,인제,인제,0.01
2011-10-13,15:54:00,2011-10-13,17:50:00,춘천,사북,0.1
2011-10-07,14:46:00,2011-10-07,16:28:00,홍천,남,0.01
2011-10-06,18:13:00,2011-10-06,23:30:00,화천,화천,0.3
2011-06-15,13:15:00,2011-06-15,14:45:00,춘천,동산,0.1
2011-06-12,14:25:00,2011-06-12,18:30:00,삼척,마평,0.1
2011-05-15,14:50:00,2011-05-15,18:55:00,철원,동송,0.1
2011-04-20,14:15:00,2011-04-20,15:10:00,횡성,청일,0.6
2011-04-17,14:22:00,2011-04-17,15:08:00,,청일,0.2
2011-04-17,12:40:00,2011-04-17,14:20:00,인제,남면,0.3
2011-04-16,18:25:00,2011-04-16,19:30:00,춘천,남산,0.1
2011-04-13,23:40:00,2011-04-14,02:30:00,춘천,신동,0.5
2011-04-13,16:50:00,2011-04-13,17:50:00,영월,수주,0.15
2011-04-13,16:05:00,2011-04-13,17:10:00,삼척,도계,0.2
2011-04-13,15:02:00,2011-04-13,17:50:00,,손양,4.0
2011-04-10,12:19:00,2011-04-10,13:08:00,화천,하남,0.1
2011-04-09,12:55:00,2011-04-09,13:40:00,양구,남,0.03
2011-04-09,12:30:00,2011-04-09,12:57:00,양구,동,0.04
2011-04-06,16:27:00,2011-04-06,17:00:00,강릉,왕산,0.1
2011-04-06,14:50:00,2011-04-06,16:00:00,철원,철원,0.2
2011-04-05,11:08:00,2011-04-05,11:40:00,춘천,남,0.1
2011-04-01,14:15:00,2011-04-01,16:45:00,삼척,노곡,0.5
2011-04-01,10:50:00,2011-04-01,13:30:00,정선,정선,0.3
2011-03-24,13:00:00,2011-03-24,14:15:00,화천,화천,0.7
2011-03-18,12:00:00,2011-03-18,12:50:00,홍천,홍천,0.2
2011-03-14,19:40:00,2011-03-14,21:00:00,영월,영월,0.1
2011-03-11,13:43:00,2011-03-11,14:55:00,횡성,우천,0.1
2011-03-09,17:20:00,2011-03-09,18:30:00,춘천,북산,0.3
2011-03-09,13:15:00,2011-03-09,17:50:00,영월,영월,2.0
2011-02-26,16:50:00,2011-02-26,17:15:00,원주,태장,0.03
2011-02-12,07:30:00,2011-02-12,08:20:00,원주,귀래,0.3
2011-02-11,17:50:00,2011-02-11,20:20:00,홍천,내촌,0.3
2011-02-01,21:15:00,2011-02-01,22:38:00,강릉,대전,0.2
2011-01-31,21:31:00,2011-02-01,08:10:00,양양,강현,3.5
2011-01-31,18:14:00,2011-02-01,10:30:00,양양,현남,30.0
2011-01-22,23:46:00,2011-01-23,00:10:00,강릉,죽헌,0.3
2012-12-26,12:30:00,2012-12-26,17:30:00,삼척,가곡,0.2
2012-11-27,12:30:00,2012-11-27,13:20:00,춘천,신,0.01
2012-10-21,13:12:00,2012-10-21,15:05:00,원주,문막,0.03
2012-10-14,14:28:00,2012-10-14,15:15:00,속초,설악,0.01
2012-06-29,06:00:00,2012-06-29,09:35:00,원주,부론,0.2
2012-06-22,13:00:00,2012-06-22,16:30:00,횡성,서원,0.7
2012-06-21,13:52:00,2012-06-21,19:20:00,홍천,북방,0.08
2012-06-19,11:17:00,2012-06-19,15:30:00,춘천,남,0.1
2012-06-14,21:30:00,2012-06-15,03:00:00,춘천,동,0.05
2012-05-30,09:10:00,2012-05-30,09:50:00,양구,양구,0.01
2012-05-30,08:00:00,2012-05-30,14:05:00,홍천,동,0.1
2012-05-30,05:30:00,2012-05-30,17:30:00,홍천,화촌,0.1
2012-05-29,11:28:00,2012-05-29,13:35:00,원주,부론,0.01
2012-05-28,17:19:00,2012-05-28,20:10:00,홍천,화촌,0.1
2012-05-28,13:17:00,2012-05-28,15:10:00,횡성,갑천,0.01
2012-05-28,12:18:00,2012-05-28,15:40:00,정선,여량,0.01
2012-05-28,10:32:00,2012-05-28,12:50:00,홍천,동,0.07
2012-05-27,17:50:00,2012-05-27,19:20:00,삼척,미로,0.01
2012-05-27,16:10:00,2012-05-27,18:40:00,홍천,화촌,0.01
2012-05-27,14:24:00,2012-05-27,16:20:00,영월,남,0.1
2012-05-26,15:31:00,2012-05-26,17:20:00,평창,미탄,0.2
2012-05-23,05:40:00,2012-05-23,08:40:00,화천,상서,0.04
2012-05-07,15:38:00,2012-05-07,17:40:00,평창,봉평,0.1
2012-05-07,14:54:00,2012-05-07,16:15:00,철원,갈말,0.05
2012-05-06,14:42:00,2012-05-06,17:09:00,홍천,화촌,0.01
2012-05-06,13:53:00,2012-05-06,14:45:00,원주,호저,0.05
2012-05-06,12:54:00,2012-05-06,16:20:00,화천,화천,0.1
2012-05-01,14:10:00,2012-05-01,16:30:00,삼척,가곡,0.12
2012-04-30,10:15:00,2012-04-30,11:55:00,춘천,동산,0.01
2012-04-24,14:33:00,2012-04-24,15:20:00,동해,귀운,0.01
2012-04-20,17:50:00,2012-04-20,18:40:00,영월,주천,0.05
2012-04-19,15:00:00,2012-04-19,18:40:00,횡성,청일,1.5
2012-04-19,14:16:00,2012-04-19,23:00:00,홍천,화촌,6.0
2012-04-18,16:09:00,2012-04-18,17:26:00,철원,갈말,0.15
2012-04-17,15:20:00,2012-04-17,16:15:00,영월,북,0.1
2012-04-15,20:17:00,2012-04-15,21:50:00,삼척,도계,0.03
2012-04-15,15:20:00,2012-04-15,16:40:00,평창,진부,0.12
2012-04-09,16:29:00,2012-04-09,18:20:00,춘천,동,0.02
2012-03-30,17:26:00,2012-03-30,19:00:00,양구,양구,0.1
2012-03-12,15:15:00,2012-03-12,16:40:00,횡성,갑천,0.1
2012-02-28,14:40:00,2012-02-28,14:40:00,양구,동면,0.06
2012-02-16,14:05:00,2012-02-16,15:15:00,원주,소초,0.1
2012-02-05,16:28:00,2012-02-05,16:49:00,고성,거진,0.2
2012-01-11,15:15:00,2012-01-11,16:50:00,홍천,홍천,0.03
2013-12-06,14:06:00,2013-12-06,14:45:00,양양,현북,0.01
2013-12-01,21:40:00,2013-12-01,22:40:00,강릉,성산,0.03
2013-11-22,22:17:00,2013-11-23,02:30:00,태백,하사미,0.05
2013-11-08,21:31:00,2013-11-08,21:51:00,양양,양양,0.01
2013-10-29,14:30:00,2013-10-29,16:54:00,춘천,사북,0.05
