system:index,NDVI,year,.geo
0,0.5308264775,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5567504508,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5343582144,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5649233887,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5491852148,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5351200618,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.547463129,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5577437664,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5694458057,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.537065475,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5382620579,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5629576736,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5519723547,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5758739976,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.5884487314,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5936036177,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6017842785,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.606977656,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.6225900737,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.6156199059,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6204404658,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6281920782,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.3816197174,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
