iter	MultiClass
0	1.082413923
1	1.067796942
2	1.051831738
3	1.040374225
4	1.030267369
5	1.020674324
6	1.009253678
7	0.9996073062
8	0.9919508164
9	0.9833813878
10	0.9756372488
11	0.9713583652
12	0.9675366891
13	0.9594280354
14	0.9524792099
15	0.9496523912
16	0.9426714177
17	0.9397166697
18	0.9330975123
19	0.9281596449
20	0.9250669651
21	0.9223892942
22	0.917314418
23	0.9143893752
24	0.9095958358
25	0.9051756312
26	0.9032766025
27	0.8990304127
28	0.8954985387
29	0.8929836761
30	0.889902728
31	0.8854731119
32	0.8772284914
33	0.8765820321
34	0.8745200719
35	0.8713521633
36	0.8664849992
37	0.860198251
38	0.8582700821
39	0.8532503018
40	0.8507125575
41	0.8477461112
42	0.8443092106
43	0.8405559677
44	0.8375605314
45	0.8371507866
46	0.8354259997
47	0.8339586374
48	0.8292459027
49	0.8246209702
50	0.8211467908
51	0.8187471064
52	0.8171609703
53	0.8133472965
54	0.812745785
55	0.8102163312
56	0.8041683515
57	0.8021762709
58	0.7982450695
59	0.7937315522
60	0.7917753743
61	0.7887935592
62	0.7846275475
63	0.7798176901
64	0.7779473874
65	0.7766803668
66	0.7735596336
67	0.7713852684
68	0.7690128149
69	0.7681138702
70	0.7668430699
71	0.7640727587
72	0.7618391351
73	0.760518498
74	0.7578963542
75	0.7560465999
76	0.7532460274
77	0.7477307378
78	0.7440139714
79	0.7404160337
80	0.7372935219
81	0.735094778
82	0.7342627657
83	0.7303822403
84	0.7284688471
85	0.7269977152
86	0.7239496802
87	0.7190021627
88	0.716448168
89	0.7132883619
90	0.7091075286
91	0.7055025867
92	0.7018043792
93	0.6999389095
94	0.6960211545
95	0.6933877388
96	0.6913621809
97	0.6855934344
98	0.6797556466
99	0.6764552777
100	0.6734317003
101	0.6708139906
102	0.667699501
103	0.6649146133
104	0.6623762683
105	0.6597931544
106	0.6549361212
107	0.6522393653
108	0.6480859853
109	0.6446053495
110	0.6430672945
111	0.6408338564
112	0.6383628667
113	0.6359528421
114	0.632331258
115	0.6290021982
116	0.627678046
117	0.6251298977
118	0.6224323904
119	0.6201849559
120	0.6180937799
121	0.6141912378
122	0.6132096167
123	0.6095367333
124	0.6064826835
125	0.6033142429
126	0.6009874872
127	0.5990436451
128	0.5977986381
129	0.5944708145
130	0.5916461612
131	0.5895960835
132	0.5878699747
133	0.586084903
134	0.5843630783
135	0.5827537027
136	0.5803449938
137	0.5772579664
138	0.5752007037
139	0.5725686316
140	0.5703136486
141	0.5670360099
142	0.5652051578
143	0.5635004188
144	0.5616164457
145	0.5583724836
146	0.5562261702
147	0.553925254
148	0.5510954828
149	0.5493099177
150	0.5463671064
151	0.5431789263
152	0.5396377916
153	0.5381196453
154	0.5355590302
155	0.5327291543
156	0.5313590342
157	0.5290991604
158	0.5270746619
159	0.5237414724
160	0.5200415202
161	0.5185379896
162	0.5174709384
163	0.5155640031
164	0.5135743906
165	0.5109627204
166	0.5090541633
167	0.5073793541
168	0.5062250792
169	0.5027169832
170	0.5004347801
171	0.4986071988
172	0.4974329522
173	0.4962042093
174	0.4935679986
175	0.4923148169
176	0.4903153451
177	0.4891233432
178	0.4864732048
179	0.4846710497
180	0.4815643524
181	0.4803714835
182	0.477773862
183	0.4761801434
184	0.4744896064
185	0.4733704097
186	0.4720759254
187	0.4698172811
188	0.4676477315
189	0.4653251246
190	0.4642287458
191	0.4629707199
192	0.4615970687
193	0.4598647282
194	0.4585269506
195	0.4554593248
196	0.4541270609
197	0.4516239448
198	0.4501898001
199	0.4487380242
200	0.4461794787
201	0.4447843565
202	0.4435398197
203	0.4420035045
204	0.4402928626
205	0.4392327423
206	0.4380621498
207	0.4361011766
208	0.4344954559
209	0.4329465138
210	0.4321405702
211	0.4312857139
212	0.4289601684
213	0.4268561166
214	0.4255161265
215	0.4236192995
216	0.4211344352
217	0.4196010846
218	0.4180403298
219	0.4159350796
220	0.4134800997
221	0.4111427904
222	0.4105264493
223	0.408163234
224	0.4060498912
225	0.4045271251
226	0.4019313463
227	0.4005285738
228	0.3989441073
229	0.3978070603
230	0.3964850725
231	0.3956726397
232	0.3937767701
233	0.3927599909
234	0.3912981677
235	0.3894572145
236	0.3888239677
237	0.3874358879
238	0.3862263496
239	0.3840367553
240	0.3822776005
241	0.3808639905
242	0.3788494129
243	0.3771908783
244	0.3750341449
245	0.3731006408
246	0.3722027253
247	0.3710560997
248	0.3700331981
249	0.3685737602
250	0.3671288405
251	0.3659555704
252	0.3640808761
253	0.3620851318
254	0.3606807444
255	0.3596816075
256	0.3580575703
257	0.3566826077
258	0.3551974752
259	0.3544597268
260	0.3530267472
261	0.3518911053
262	0.3511893522
263	0.350309842
264	0.3487936702
265	0.3468320705
266	0.345528368
267	0.3444745642
268	0.3432620478
269	0.3415884274
270	0.3402962757
271	0.3397526032
272	0.3386781644
273	0.337919877
274	0.336770365
275	0.335713104
276	0.3341616198
277	0.3323724631
278	0.3307766877
279	0.3293214285
280	0.3280052785
281	0.3270057012
282	0.3265501211
283	0.3249914188
284	0.3245181631
285	0.3236427883
286	0.3222418129
287	0.3211507753
288	0.320188791
289	0.3186536435
290	0.317715061
291	0.3164559067
292	0.3152479065
293	0.3136765893
294	0.3119139141
295	0.310631479
296	0.3098170235
297	0.3084004344
298	0.3076155857
299	0.3063047506
300	0.305480264
301	0.3046355823
302	0.3031262699
303	0.3015601985
304	0.3003195331
305	0.299579928
306	0.2991509227
307	0.2984515501
308	0.2974809506
309	0.2965725477
310	0.2952773337
311	0.2943212168
312	0.2933781381
313	0.2917969186
314	0.2910856509
315	0.2905084678
316	0.2899234246
317	0.2886894411
318	0.2871485887
319	0.2860509596
320	0.285532292
321	0.2850618299
322	0.2846829811
323	0.2833515129
324	0.282245191
325	0.2813291853
326	0.2805181302
327	0.2800067734
328	0.2787464094
329	0.27814819
330	0.2774111433
331	0.2764018736
332	0.2753330584
333	0.2738934257
334	0.2732926886
335	0.2724136139
336	0.2721447931
337	0.2709611738
338	0.2695914091
339	0.2688119107
340	0.2684329118
341	0.268093734
342	0.2672021236
343	0.2666740346
344	0.2657657423
345	0.2648402298
346	0.2642480638
347	0.26331488
348	0.2623037933
349	0.2615025475
350	0.2605194278
351	0.2598420533
352	0.2587342643
353	0.2577863608
354	0.2571255485
355	0.2556192532
356	0.2546685734
357	0.2536625199
358	0.2533197266
359	0.252815859
360	0.2518450971
361	0.2509894949
362	0.2500703083
363	0.2490196594
364	0.2485059013
365	0.2476910871
366	0.2469739891
367	0.2461735518
368	0.2454909648
369	0.2451077517
370	0.2442891073
371	0.2430628607
372	0.2423689059
373	0.2411954985
374	0.2402560133
375	0.2396200964
376	0.2390500918
377	0.2382321577
378	0.2371971662
379	0.2365653233
380	0.2357655745
381	0.2353107198
382	0.2345525602
383	0.2342689477
384	0.2334384779
385	0.2322075721
386	0.2316415223
387	0.2311381042
388	0.2304220835
389	0.229641134
390	0.2288020247
391	0.2277524922
392	0.2268777829
393	0.2262314822
394	0.225188314
395	0.224631709
396	0.224384061
397	0.223747057
398	0.2231838049
399	0.222471674
400	0.221421619
401	0.220707115
402	0.2200156996
403	0.219314197
404	0.2186093881
405	0.2181037585
406	0.2176596232
407	0.2168550216
408	0.2155884515
409	0.214933468
410	0.2144904265
411	0.2140350873
412	0.213564614
413	0.2131710538
414	0.2123732142
415	0.2121147192
416	0.2114305654
417	0.2109501173
418	0.2104538893
419	0.2095268749
420	0.2086978095
421	0.208438511
422	0.2079252688
423	0.2076587647
424	0.2070617201
425	0.2062640362
426	0.205407972
427	0.2048577273
428	0.2044421635
429	0.2041054091
430	0.2034470857
431	0.2030121322
432	0.2025435083
433	0.2021598133
434	0.2013232794
435	0.2006756604
436	0.2000423444
437	0.199747758
438	0.1993901835
439	0.198938168
440	0.1984407546
441	0.1978274181
442	0.1975155319
443	0.1967379864
444	0.1962934118
445	0.195834078
446	0.1951874283
447	0.1943920208
448	0.1938298672
449	0.1931556955
450	0.1926235306
451	0.1920100783
452	0.1914895298
453	0.1911378029
454	0.1903379982
455	0.1898678442
456	0.1893653825
457	0.1889883816
458	0.1886860704
459	0.1880962044
460	0.1874726971
461	0.1870696513
462	0.1865418337
463	0.1859241448
464	0.1854864387
465	0.185130962
466	0.1844999978
467	0.1842097599
468	0.1836168558
469	0.182711927
470	0.1823141166
471	0.1818344468
472	0.1814472393
473	0.1805269122
474	0.1802507156
475	0.1796748738
476	0.1793529714
477	0.1788343511
478	0.1784839932
479	0.1775674121
480	0.1771936496
481	0.1769022246
482	0.176609118
483	0.1762696226
484	0.1758180875
485	0.1753775283
486	0.1747757405
487	0.1744685043
488	0.1740814088
489	0.1736590511
490	0.1728648459
491	0.1726607912
492	0.1719840019
493	0.1716128906
494	0.170876651
495	0.1704105359
496	0.170007987
497	0.1696252991
498	0.1690551065
499	0.168423747
500	0.1679454418
501	0.1676122826
502	0.1670011262
503	0.1665625367
504	0.1659648124
505	0.1655869113
506	0.1649287875
507	0.1642511842
508	0.1636804725
509	0.1630681196
510	0.162585337
511	0.161979561
512	0.1618244043
513	0.1613980339
514	0.1611061366
515	0.1607796491
516	0.1602713033
517	0.1598745142
518	0.1595438422
519	0.1591064736
520	0.1587767394
521	0.1584130608
522	0.157839959
523	0.1573959667
524	0.1571375903
525	0.1565543432
526	0.1560343918
527	0.1555525847
528	0.155273551
529	0.1548239882
530	0.1543927008
531	0.1539599213
532	0.1535856026
533	0.1531126355
534	0.1528173004
535	0.152341061
536	0.1521289249
537	0.1517833353
538	0.1514454427
539	0.1509364374
540	0.1505550981
541	0.1500339161
542	0.1496863344
543	0.1494114099
544	0.1487962031
545	0.1486524491
546	0.1483412455
547	0.1478419561
548	0.1474899764
549	0.1472179983
550	0.1469477019
551	0.1466285062
552	0.1462482236
553	0.1457868803
554	0.1453610823
555	0.1450104284
556	0.1448075541
557	0.144456192
558	0.1440956035
559	0.1439585927
560	0.1436643504
561	0.1433961606
562	0.1432404448
563	0.1429158243
564	0.1425711712
565	0.1422627918
566	0.1420308659
