iter	Passed	Remaining
0	21	20985
1	34	16982
2	60	20192
3	84	21019
4	104	20696
5	116	19219
6	137	19487
7	155	19259
8	177	19575
9	204	20242
10	232	20948
11	253	20855
12	260	19813
13	286	20205
14	323	21263
15	337	20774
16	363	20995
17	383	20895
18	401	20731
19	420	20597
20	437	20398
21	453	20142
22	471	20010
23	489	19894
24	506	19767
25	524	19640
26	541	19514
27	558	19394
28	575	19282
29	595	19247
30	609	19050
31	625	18922
32	656	19232
33	665	18907
34	703	19404
35	721	19311
36	736	19181
37	751	19029
38	764	18839
39	778	18694
40	792	18528
41	806	18385
42	821	18272
43	836	18172
44	853	18122
45	863	17916
46	886	17975
47	901	17877
48	918	17822
49	934	17750
50	950	17682
51	979	17858
52	1004	17950
53	1023	17932
54	1044	17942
55	1079	18193
56	1124	18611
57	1141	18537
58	1157	18466
59	1174	18393
60	1191	18339
61	1207	18270
62	1224	18211
63	1241	18161
64	1257	18094
65	1274	18039
66	1291	17979
67	1307	17917
68	1323	17859
69	1340	17805
70	1356	17747
71	1382	17816
72	1401	17801
73	1419	17768
74	1438	17744
75	1457	17718
76	1485	17809
77	1509	17843
78	1526	17793
79	1541	17729
80	1559	17695
81	1578	17667
82	1593	17603
83	1609	17548
84	1624	17486
85	1640	17435
86	1655	17369
87	1671	17327
88	1686	17260
89	1699	17181
90	1713	17117
91	1727	17050
92	1739	16969
93	1752	16895
94	1765	16819
95	1778	16747
96	1792	16682
97	1804	16611
98	1817	16545
99	1831	16485
100	1844	16419
101	1857	16350
102	1868	16276
103	1881	16209
104	1893	16142
105	1906	16078
106	1920	16025
107	1932	15960
108	1944	15898
109	1957	15836
110	1969	15770
111	1981	15712
112	1994	15654
113	2006	15594
114	2018	15535
115	2032	15489
116	2044	15429
117	2057	15376
118	2070	15329
119	2084	15286
120	2098	15241
121	2111	15194
122	2124	15144
123	2136	15092
124	2148	15041
125	2162	14999
126	2175	14954
127	2189	14913
128	2201	14866
129	2215	14825
130	2228	14780
131	2240	14731
132	2252	14684
133	2264	14636
134	2277	14593
135	2289	14545
136	2301	14500
137	2314	14458
138	2326	14413
139	2340	14377
140	2352	14330
141	2365	14291
142	2378	14253
143	2390	14208
144	2402	14168
145	2414	14123
146	2427	14084
147	2439	14044
148	2452	14005
149	2463	13962
150	2477	13929
151	2490	13895
152	2503	13860
153	2515	13819
154	2528	13782
155	2540	13742
156	2551	13701
157	2564	13664
158	2576	13629
159	2590	13598
160	2603	13564
161	2614	13525
162	2626	13489
