original_fire_id,start_datetime,total_duration_hours,final_damage_area_ha,duration_hours,estimated_damage_area,timestamp,lat,lng,T2M,RH2M,WS10M,WD10M,PRECTOTCORR,FFMC,DMC,DC,ISI,BUI,FWI
0,2011-12-28 03:20:00,5.166666666666667,0.1,1,0.01935483870967742,2011-12-28 04:20:00,37.68943404802,127.884306327398,-8.46,94.77,0.88,354.2,0.0,84.6869551203355,5.965734479296,16.9812,10.146202097988812,6.3523202563631,8788.742397181572
0,2011-12-28 03:20:00,5.166666666666667,0.1,2,0.03870967741935484,2011-12-28 05:20:00,37.68943404802,127.884306327398,-8.58,100.0,0.82,9.8,0.0,85.04770672490858,6.0,16.959600000000002,10.62800197228868,6.367889460443811,11763.71755992365
0,2011-12-28 03:20:00,5.166666666666667,0.1,3,0.05806451612903226,2011-12-28 06:20:00,37.68943404802,127.884306327398,-8.26,100.0,0.54,40.5,0.0,85.04770672490858,6.0,17.0172,10.479102264845363,6.378021813275366,10907.027325180708
0,2011-12-28 03:20:00,5.166666666666667,0.1,4,0.07741935483870968,2011-12-28 07:20:00,37.68943404802,127.884306327398,-7.75,100.0,0.34,115.8,0.0,85.04770672490858,6.0,17.109,10.374024249700602,6.394095113519575,10423.225819461233
0,2011-12-28 03:20:00,5.166666666666667,0.1,5,0.0967741935483871,2011-12-28 08:20:00,37.68943404802,127.884306327398,-7.37,100.0,0.63,178.2,0.0,85.04770672490858,6.0,17.1774,10.526733967155971,6.406011672788976,11509.6082122204
0,2011-12-28 03:20:00,5.166666666666667,0.1,6,0.11612903225806452,2011-12-28 09:20:00,37.68943404802,127.884306327398,-5.55,93.64,1.09,198.8,0.0,84.59308868093471,5.97480612564,17.505,10.123953119056797,6.447748712076562,9473.432139918772
1,2011-11-20 21:54:00,2.816666666666667,0.3,1,0.10650887573964496,2011-11-20 22:54:00,38.0703902211485,128.172217558963,-6.53,79.69,4.75,274.3,0.0,84.19915102753556,5.901828012006,17.3286,11.543309952511123,6.375331165415973,19828.31308883584
1,2011-11-20 21:54:00,2.816666666666667,0.3,2,0.21301775147928992,2011-11-20 23:54:00,38.0703902211485,128.172217558963,-6.64,82.24,4.26,268.7,0.0,84.2173065647943,5.912414833728,17.3088,11.289275297330335,6.378144308126505,17261.067148138172
1,2011-11-20 21:54:00,2.816666666666667,0.3,3,0.3195266272189349,2011-11-21 00:54:00,38.0703902211485,128.172217558963,-6.69,83.06,4.22,266.6,0.0,84.22103374089563,5.915704760972,17.2998,11.27218649738485,6.378529203193285,17103.38668277423
2,2011-11-01 15:23:00,19.116666666666667,3.0,1,0.15693112467306014,2011-11-01 16:23:00,38.1042562811837,127.707178844679,15.99,56.97,0.66,173.9,0.0,85.21278936579198,6.654622971886,21.382199999999997,10.78543389992171,7.485277738101367,36525.18959868319
2,2011-11-01 15:23:00,19.116666666666667,3.0,2,0.3138622493461203,2011-11-01 17:23:00,38.1042562811837,127.707178844679,14.99,54.94,0.64,144.6,0.0,85.26106811360442,6.645394208772,21.202199999999998,10.84673291305566,7.451774317909271,36819.80311645111
2,2011-11-01 15:23:00,19.116666666666667,3.0,3,0.4707933740191804,2011-11-01 18:23:00,38.1042562811837,127.707178844679,14.02,58.8,0.98,134.2,0.0,85.01689244655402,6.55453228992,21.0276,10.668711141499724,7.367634488517569,30505.997839222626
2,2011-11-01 15:23:00,19.116666666666667,3.0,4,0.6277244986922406,2011-11-01 19:23:00,38.1042562811837,127.707178844679,12.85,64.63,1.26,144.7,0.0,84.73316328007513,6.43922504907,20.817,10.407744613135643,7.262366000384523,23561.605397999087
