t2m_mean,t2m_max,t2m_min,t2m_std,rh2m_mean,rh2m_max,rh2m_min,rh2m_std,ws2m_mean,ws2m_max,ws2m_min,ws2m_std,ws10m_mean,ws10m_max,ws10m_min,ws10m_std,wd2m_mean,wd10m_mean,prectotcorr_sum,prectotcorr_max,ps_mean,ps_max,ps_min,ps_std,allsky_sfc_sw_dwn_mean,allsky_sfc_sw_dwn_max,allsky_sfc_sw_dwn_min,allsky_sfc_sw_dwn_std,total_precip_7d,no_rain_days_7d
-8.011111111111111,-7.37,-8.43333333333333,0.5644499124844492,95.3322222222222,100.0,87.74,6.632584826557542,0.4844444444444444,0.57,0.39,0.09032861816312288,0.7488888888888887,0.87,0.63,0.12001543110660272,220.47777777777765,219.2444444444443,0.0,0.0,97.60555555555554,97.62,97.5866666666666,0.017105338131527134,37.656666666666666,112.97,0.0,65.22325991035203,1.15,4
-6.565,-6.44,-6.69,0.1767766952966369,81.065,83.06,79.07,2.8213560569343312,2.83,3.11,2.55,0.39597979746446665,4.66,5.1,4.22,0.6222539674441617,270.0,270.95000000000005,0.0,0.0,96.585,96.6,96.57,0.02121320343559723,0.0,0.0,0.0,0.0,3.67,4
13.228749999999987,17.58,10.1733333333333,2.8329752925037295,73.66166666666665,92.6633333333333,56.9033333333333,15.202695145352996,0.8191666666666664,1.42,0.526666666666666,0.2857835233567924,1.2958333333333312,1.89,0.76,0.44645606264560417,202.1479166666665,202.49791666666636,0.0,0.0,98.64749999999998,98.7033333333333,98.6,0.03444572450258023,115.33874999999995,478.25,0.0,181.9682135938355,3.26,5
8.76,9.34,8.18,0.8202438661763952,42.865,44.89,40.84,2.863782463805516,4.305,4.55,4.06,0.34648232278140845,6.765,7.1,6.43,0.4737615433949868,271.35,271.70000000000005,0.0,0.0,95.855,95.87,95.84,0.02121320343559723,282.4,377.25,187.55,134.13815639108805,15.91,4
16.63,18.27,14.99,2.319310242291875,59.93,62.12,57.74,3.097127701597075,0.8200000000000001,1.06,0.58,0.3394112549695429,1.29,1.66,0.92,0.5232590180780451,272.75,272.04999999999995,0.0,0.0,97.68,97.7,97.66,0.028284271247466325,93.025,186.05,0.0,131.55721663975717,0.0,7
16.275,17.77,14.78,2.114249275747777,67.945,80.05,55.84,17.11905517252631,1.62,2.23,1.01,0.8626702730475879,2.5949999999999998,3.11,2.08,0.7283199846221439,286.7,286.75,0.0,0.0,99.59,99.62,99.56,0.04242640687119446,227.46,403.92,51.0,249.55212521635636,0.0,7
7.21222222222222,8.47,6.12,1.1837151183800447,95.11666666666667,100.0,88.86,5.695562600247084,1.29,1.68,0.96,0.3637306695894642,2.5833333333333335,3.27,1.79,0.7457434768962671,304.0888888888887,304.411111111111,0.0,0.0,97.83999999999999,97.96,97.73,0.11532562594670288,0.0,0.0,0.0,0.0,21.12,4
27.385,27.51,27.26,0.1767766952966369,48.620000000000005,49.31,47.93,0.9758073580374373,1.325,1.41,1.24,0.12020815280171303,1.715,1.85,1.58,0.19091883092036785,144.05,144.4,0.24,0.13,97.055,97.06,97.05,0.007071067811869092,548.76,610.4,487.12,87.17212398467757,9.15,2
20.863333333333333,21.45,20.38,0.5424327915358116,75.94666666666666,79.58,72.0,3.7997017426810396,1.5377777777777766,1.71333333333333,1.4,0.16004628960027237,2.08111111111111,2.30333333333333,1.95,0.19348652934257807,104.24444444444434,105.16666666666667,10.09,7.23,98.65555555555552,98.7,98.61,0.04501028689006546,234.661111111111,429.27,55.33,187.43755965753067,2.6,1
15.506666666666666,18.88,11.58,3.6813222262297725,75.72,94.4,60.24,17.303363834815475,3.7088888888888865,5.69,1.51,2.0984924041726645,5.564444444444443,8.2,2.74,2.734896571949158,232.25555555555533,232.111111111111,0.13,0.06,97.17777777777776,97.25,97.13,0.06362505912098898,179.02666666666667,385.62,4.4,192.60989832647056,54.14,2
